row_no,machine_id,status,reason,detail
0,04346,exported,,
0,04344,exported,,
0,04343,exported,,
0,04338,exported,,
0,04337,exported,,
0,04336,exported,,
0,04334,exported,,
0,04332,exported,,
0,04348,exported,,
0,04324,exported,,
0,04322,exported,,
0,04317,exported,,
0,04323,exported,,
0,04318,exported,,
0,04315,exported,,
0,04313,exported,,
0,04312,exported,,
0,04319,exported,,
0,04314,exported,,
0,04320,exported,,
0,04307,exported,,
0,04303,exported,,
0,04300,exported,,
0,04290,exported,,
0,04289,exported,,
0,04287,exported,,
0,04284,exported,,
0,04297,exported,,
0,04325,exported,,
0,04316,exported,,
0,04309,exported,,
0,04308,exported,,
0,04306,exported,,
0,04305,exported,,
0,04293,exported,,
0,04291,exported,,
0,04286,exported,,
0,04285,exported,,
0,04269,exported,,
0,04295,exported,,
0,04281,exported,,
0,04261,exported,,
0,04282,exported,,
0,04280,exported,,
0,04278,exported,,
0,04276,exported,,
0,04271,exported,,
0,04270,exported,,
0,04262,exported,,
0,04267,exported,,
0,04266,exported,,
0,04257,exported,,
0,04288,exported,,
0,04277,exported,,
0,04274,exported,,
0,04273,exported,,
0,04260,exported,,
0,04251,exported,,
0,04250,exported,,
0,04249,exported,,
0,04265,exported,,
0,04263,exported,,
0,04256,exported,,
0,04255,exported,,
0,04248,exported,,
0,04245,exported,,
0,04243,exported,,
0,04240,exported,,
0,04239,exported,,
0,04238,exported,,
0,04235,exported,,
0,04234,exported,,
0,04231,exported,,
0,04227,exported,,
0,04233,exported,,
0,04232,exported,,
0,04226,exported,,
0,04221,exported,,
0,04220,exported,,
0,04219,exported,,
0,04198,exported,,
0,04197,exported,,
0,04206,exported,,
0,04228,exported,,
0,04224,exported,,
0,04218,exported,,
0,04214,exported,,
0,04213,exported,,
0,04208,exported,,
0,04207,exported,,
0,04204,exported,,
0,04200,exported,,
0,04195,exported,,
0,04187,exported,,
0,04216,exported,,
0,04185,exported,,
0,04184,exported,,
0,04177,exported,,
0,04170,exported,,
0,04199,exported,,
0,04194,exported,,
0,04190,exported,,
0,04189,exported,,
0,04186,exported,,
0,04180,exported,,
0,04172,exported,,
0,04168,exported,,
0,04165,exported,,
0,04179,exported,,
0,04176,exported,,
0,04175,exported,,
